date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:17:40	669/669	---M--	200	added ('OK')	text/css	date:Sat,%2001%20May%202021%2014:40:25%20GMT	https://softechcomputers.org.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.1	C:/My%20Web%20Sites/web/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min9e0b.css	(from https://softechcomputers.org.in/)
18:17:41	675/675	---M--	200	added ('OK')	text/css	date:Sat,%2001%20May%202021%2014:40:25%20GMT	https://softechcomputers.org.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min.css?ver=5.15.1	C:/My%20Web%20Sites/web/wp-content/plugins/elementor/assets/lib/font-awesome/css/brands.min9e0b.css	(from https://softechcomputers.org.in/)
18:17:41	677/677	---M--	200	added ('OK')	text/css	date:Sat,%2001%20May%202021%2014:40:25%20GMT	https://softechcomputers.org.in/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min.css?ver=5.15.1	C:/My%20Web%20Sites/web/wp-content/plugins/elementor/assets/lib/font-awesome/css/regular.min9e0b.css	(from https://softechcomputers.org.in/)
18:17:42	23457/23457	---M--	200	added ('OK')	text/css	date:Sun,%2018%20Oct%202020%2011:14:40%20GMT	https://softechcomputers.org.in/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min.css?ver=ff7f6f5b	C:/My%20Web%20Sites/web/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider.min33f7.css	(from https://softechcomputers.org.in/)
18:17:43	89496/89496	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20May%202021%2008:27:14%20GMT	https://softechcomputers.org.in/wp-includes/js/jquery/jquery.min.js?ver=3.5.1	C:/My%20Web%20Sites/web/wp-includes/js/jquery/jquery.min9d52.js	(from https://softechcomputers.org.in/)
18:17:43	11224/11224	---M--	200	added ('OK')	application/javascript	date:Thu,%2006%20May%202021%2008:27:14%20GMT	https://softechcomputers.org.in/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/web/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://softechcomputers.org.in/)
18:17:43	293/293	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Nov%202020%2018:21:29%20GMT	https://softechcomputers.org.in/wp-content/plugins/ultimate-member/assets/js/um-gdpr.min.js?ver=2.1.12	C:/My%20Web%20Sites/web/wp-content/plugins/ultimate-member/assets/js/um-gdpr.min7e68.js	(from https://softechcomputers.org.in/)
18:17:46	139031/139031	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Jun%202021%2012:47:44%20GMT	https://softechcomputers.org.in/wp-json/	C:/My%20Web%20Sites/web/wp-json/index.html	(from https://softechcomputers.org.in/)
18:17:46	29497/29497	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Jun%202021%2012:47:44%20GMT	https://softechcomputers.org.in/wp-json/wp/v2/pages/6	C:/My%20Web%20Sites/web/wp-json/wp/v2/pages/6.json	(from https://softechcomputers.org.in/)
18:17:47	852/852	---M--	200	added ('OK')	text/xml	date:Wed,%2009%20Jun%202021%2012:47:46%20GMT	https://softechcomputers.org.in/xmlrpc.php?rsd	C:/My%20Web%20Sites/web/xmlrpc0db0.php	(from https://softechcomputers.org.in/)
18:17:48	1045/1045	---M--	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2008:19:12%20GMT	https://softechcomputers.org.in/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/web/wp-includes/wlwmanifest.xml	(from https://softechcomputers.org.in/)
18:17:49	2276/2276	---MC-	200	added ('OK')	application/json	date:Wed,%2009%20Jun%202021%2012:47:48%20GMT	https://softechcomputers.org.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsoftechcomputers.org.in%2F	C:/My%20Web%20Sites/web/wp-json/oembed/1.0/embed9b8a.json	(from https://softechcomputers.org.in/)
18:17:50	2370/2370	---MC-	200	added ('OK')	text/xml	date:Wed,%2009%20Jun%202021%2012:47:49%20GMT	https://softechcomputers.org.in/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fsoftechcomputers.org.in%2F&format=xml	C:/My%20Web%20Sites/web/wp-json/oembed/1.0/embedee84	(from https://softechcomputers.org.in/)
18:17:51	454/454	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Nov%202020%2009:32:34%20GMT	https://softechcomputers.org.in/wp-content/uploads/2020/11/cropped-site_icon-32x32.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/11/cropped-site_icon-32x32.png	(from https://softechcomputers.org.in/)
18:17:51	2321/2321	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Nov%202020%2009:32:34%20GMT	https://softechcomputers.org.in/wp-content/uploads/2020/11/cropped-site_icon-192x192.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/11/cropped-site_icon-192x192.png	(from https://softechcomputers.org.in/)
18:17:51	2137/2137	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Nov%202020%2009:32:34%20GMT	https://softechcomputers.org.in/wp-content/uploads/2020/11/cropped-site_icon-180x180.png	C:/My%20Web%20Sites/web/wp-content/uploads/2020/11/cropped-site_icon-180x180.png	(from https://softechcomputers.org.in/)
18:17:52	41266/41266	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Oct%202020%2011:14:40%20GMT	https://softechcomputers.org.in/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min.js?ver=ff7f6f5b	C:/My%20Web%20Sites/web/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/n2.min33f7.js	(from https://softechcomputers.org.in/)
18:17:52	128264/128264	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Oct%202020%2011:14:40%20GMT	https://softechcomputers.org.in/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min.js?ver=ff7f6f5b	C:/My%20Web%20Sites/web/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Application/Frontend/Assets/dist/smartslider-frontend.min33f7.js	(from https://softechcomputers.org.in/)
18:17:52	23621/23621	---M--	200	added ('OK')	application/javascript	date:Sun,%2018%20Oct%202020%2011:14:40%20GMT	https://softechcomputers.org.in/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/smartslider-simple-type-frontend.min.js?ver=ff7f6f5b	C:/My%20Web%20Sites/web/wp-content/plugins/smart-slider-3/Public/SmartSlider3/Slider/SliderType/Simple/Assets/dist/smartslider-simple-type-frontend.min33f7.js	(from https://softechcomputers.org.in/)
